year,harvested area [ha],yield [kg/ha]
1969,5106050,1359.0349830103505
1970,3600200,1331.261757680129
1971,4218650,1265.4888886255083
1972,4880900,1603.6165153967506
1973,3858700,1663.5107717625108
1974,4122300,1410.9151815733935
1975,5131500,1628.1609860664523
1976,6332000,1719.5654722046747
1977,3815000,1355.1651795543905
1978,4610000,1738.397607375271
1979,4711100,1698.1240856700133
1980,4964000,1554.9885999194198
1981,5856600,1403.9220486288973
1982,7237000,2058.144309796877
1983,7004000,1841.3909466019418
1984,5824600,2313.9931703464617
1985,5267200,1616.393432563791
1986,4836900,1782.4482002935765
1987,4748700,1885.5488175711248
1988,4598000,1844.0270900391474
1989,5219300,1900.115092062154
1990,5706600,1903.1577646935127
1991,4491850,2178.221801707537
1992,4173300,2330.6594781108474
1993,4724100,2032.688962977075
1994,5127410,2186.1568101634157
1995,4807550,1948.9815706544914
1996,6928210,2264.585949328903
1997,5602615,2617.581693548459
1998,5273430,2309.02589965165
1999,5940340,2502.3850453004375
2000,6095245,2543.999852343917
2001,6360420,2269.8111948582014
2002,5515250,2072.579179547618
2003,5230412,2665.5950364904334
2004,5644215,2725.7447988781432
2005,4523680,2643.2740830474304
2006,4897195,2789.8668911489126
2007,5358687,2959.346527236989
2008,3889270,2033.0049225175933
2009,2899700,2977.0990585232953
2010,3631855,3906.287215486301
2011,3610750,3623.083571280205
2012,2550529,2942.128279662768
2013,3372105,2701.798369267861
2014,4744955,2874.48962213551
2015,3368065,3071.188143340464
2016,5070810,3438.459254044226
2017,4832102,3481.8687293852654
2018,5406403,3382.390589269797
2019,5833687,3042.9968447055867
2020,5823418,2904.5220997359284
2021,5747790,3666.218897872052
