model,year,init_month,yield anomaly [%],tmeanrain_buenos aires coronel suarez_9,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_buenos aires coronel suarez_11,tmeansquared_buenos aires coronel suarez_11
ERA,1993,12,-0.0461708621216909,0.5078820007956356,-0.5040017024172249,-1.3371376266750703,0.2863233665927133
ERA,1994,12,0.018137739947107,-0.0318913201485533,-0.5151841819496545,-1.0337286722117094,-0.0928454484311239
ERA,1995,12,-0.1022646938567331,-1.34663793103679,-0.2192486650489319,0.4066374925215741,-0.4976641237580463
ERA,1996,12,0.0409677436828619,0.4924623043142366,-0.2548149533584984,0.4365347658313229,-0.4167712122692081
ERA,1997,12,0.1759128118634677,0.7601389857480411,-0.4409148741206526,0.9792430434630672,0.0650182640349803
ERA,1998,12,-0.0069315508171687,-2.6025283497878897,-0.5361534570880869,0.0521203007381482,-0.5469327354233317
ERA,1999,12,0.0603710133986302,0.5317531079354265,0.9231740065533972,0.0098620388221384,-0.5330269053589572
ERA,2000,12,0.0453192686395238,-1.2463461165030476,-0.5292592793592488,0.5855720085617787,0.3169865399288442
ERA,2001,12,-0.0832118001855024,-1.2433379812878398,0.0888929796124224,-0.2388646632683107,0.0709074938674597
ERA,2002,12,-0.1599897413045245,0.5232752646835752,-0.6408790443192578,-0.9670474969245504,-0.4318600294867696
ERA,2003,12,0.0867211661741361,-0.1911015914509483,0.0571284311943044,0.0276063964828893,-0.5421503383899742
ERA,2004,12,0.0933536252225563,0.3102260833714876,-0.2857390823426177,0.0407885039530473,0.098379161710137
ERA,2005,12,0.0295492665437282,0.4255546475041008,-0.5823330100573393,0.3467747410690954,-0.094888722576201
ERA,2006,12,0.0575983895925021,-0.2288072677467741,-0.2816089155925115,-0.2981116978529414,-0.5280180888460577
ERA,2007,12,0.0901024788182954,3.681450724291503,0.7358328556136267,1.1621159970894412,1.1777806831276132
ERA,2008,12,-0.2906591931618024,0.4254184536933775,-0.6415970205877183,-4.421605882125919,10.62584620529562
ERA,2009,12,0.0808897038617558,-0.3130768368150753,1.6805210396152932,-0.00642786250972,-0.513867802931887
ERA,2010,12,0.395993458774148,0.5634488518503973,7.542780198379432,0.2676650677514036,-0.4493807211889064
ERA,2011,12,0.1954531458213887,-0.7891330773952606,0.2016136427713641,2.817331230508408,0.3809022289770587
ERA,2012,12,-0.0776281120723763,-0.115485635683015,-0.3925187017445242,0.7324925865930428,-0.1701648347119289
ERA,2013,12,-0.1611192435848817,-0.8585340470000414,-0.5336313087167431,-0.404934382713609,-0.3185645832213992
ERA,2014,12,-0.0935090762133243,-0.5108494742853904,-0.500335100763234,0.0552250789727474,-0.5443936859434162
ERA,2015,12,-0.0324093531892292,1.1540804948213494,-0.3569490759502374,0.0068205875864286,-0.5456085966336224
ERA,2016,12,0.0660093515389699,0.4535733183096389,-0.4375762119376423,-0.0263934967477967,-0.5369251096799367
